;RC1;RC2;RC3;RC4;;;;;;;
Calories;0,771859683;0,610808505;0,057942539;0,069646097;;0,771859683;0,610808505;0,057942539;0,069646097;;0,771859683
Calories.from.Fat;0,935301388;0,269242445;-0,036138576;0,002624981;;0,935301388;0,269242445;0,036138576;0,002624981;;0,935301388
Total.Fat;0,934791575;0,269128341;-0,036963067;0,002010416;;0,934791575;0,269128341;0,036963067;0,002010416;;0,934791575
Total.Fat....Daily.Value.;0,935341292;0,26865346;-0,037707839;0,001536633;;0,935341292;0,26865346;0,037707839;0,001536633;;0,935341292
Saturated.Fat;0,737875109;0,53174136;-0,098912838;-0,222842612;;0,737875109;0,53174136;0,098912838;0,222842612;;0,737875109
Saturated.Fat....Daily.Value.;0,741357612;0,530128333;-0,097156088;-0,21975757;;0,741357612;0,530128333;0,097156088;0,21975757;;0,741357612
Trans.Fat;0,32151924;0,562113821;-0,111070245;-0,191128089;;0,32151924;0,562113821;0,111070245;0,191128089;;0,562113821
Cholesterol;0,767334309;0,081149489;0,059072597;-0,291235919;;0,767334309;0,081149489;0,059072597;0,291235919;;0,767334309
Cholesterol....Daily.Value.;0,766636472;0,079867944;0,059216791;-0,292230743;;0,766636472;0,079867944;0,059216791;0,292230743;;0,766636472
Sodium;0,941562468;-0,076811613;0,127852399;0,108205029;;0,941562468;0,076811613;0,127852399;0,108205029;;0,941562468
Sodium....Daily.Value.;0,941563271;-0,074898555;0,127590701;0,10767192;;0,941563271;0,074898555;0,127590701;0,10767192;;0,941563271
Carbohydrates;0,244496823;0,924100441;0,051039794;0,130874448;;0,244496823;0,924100441;0,051039794;0,130874448;;0,924100441
Carbohydrates....Daily.Value.;0,244809362;0,923892596;0,050709545;0,129200852;;0,244809362;0,923892596;0,050709545;0,129200852;;0,923892596
Dietary.Fiber;0,659164138;-0,026072821;0,575800892;0,342379117;;0,659164138;0,026072821;0,575800892;0,342379117;;0,659164138
Dietary.Fiber....Daily.Value.;0,6527753;-0,017819236;0,598348904;0,335980118;;0,6527753;0,017819236;0,598348904;0,335980118;;0,6527753
Sugars;-0,369578246;0,899188993;-0,036136512;-0,044023564;;0,369578246;0,899188993;0,036136512;0,044023564;;0,899188993
Protein;0,826202787;0,177154025;0,281265334;0,025548919;;0,826202787;0,177154025;0,281265334;0,025548919;;0,826202787
Vitamin.A....Daily.Value.;0,006355708;0,096958266;0,836621791;-0,096222994;;0,006355708;0,096958266;0,836621791;0,096222994;;0,836621791
Vitamin.C....Daily.Value.;-0,056336488;-0,046406937;0,008716415;0,787039088;;0,056336488;0,046406937;0,008716415;0,787039088;;0,787039088
Calcium....Daily.Value.;-0,001030667;0,722595914;0,283528614;-0,30785062;;0,001030667;0,722595914;0,283528614;0,30785062;;0,722595914
Iron....Daily.Value.;0,872555626;-0,036183274;0,239976526;0,067046145;;0,872555626;0,036183274;0,239976526;0,067046145;;0,872555626
